fileID,f1,f2,vot,notes
ne03_kaka,791.81,1788.30,32.03,
ne03_kaka1,822.77,1709.12,36.04,
ne03_kaka2,875.93,1475.42,43.58,
ne03_keke,626.44,2639.54,32.18,
ne03_keke1,567.76,1766.21,33.00,
ne03_keke2,562.94,2520.65,40.76,
ne03_kiki,526.85,2725.87,42.48,
ne03_kiki1,411.93,2009.75,78.11,
ne03_kiki2,372.76,2799.69,66.16,
ne03_koko,523.28,1073.40,52.92,
ne03_koko1,535.04,1212.37,38.18,
ne03_koko2,573.70,1092.29,40.72,
ne03_kuku,517.45,992.68,53.26,
ne03_kuku1,466.30,1071.67,53.71,
ne03_kuku2,413.68,1058.74,47.30,
ne03_paka,856.01,1769.43,17.13,
ne03_paka1,740.34,1817.48,29.09,
ne03_paka2,759.81,1892.91,17.12,
ne03_peke,548.13,1825.05,17.24,
ne03_peke1,774.62,2468.97,35.97,
ne03_peke2,617.83,2031.64,30.17,
ne03_piki,364.73,2732.72,12.71,
ne03_piki1,379.30,1988.96,42.27,
ne03_piki2,392.88,2097.73,24.04,
ne03_poko,641.25,1115.90,20.43,
ne03_poko1,594.93,1173.45,39.55,
ne03_poko2,595.36,1099.41,44.10,
ne03_puku,510.91,1105.83,36.02,
ne03_puku1,420.36,955.59,48.78,
ne03_puku2,516.16,1020.82,73.54,
ne03_taka,487.87,826.56,26.99,
ne03_taka1,862.28,1761.53,25.52,
ne03_taka2,528.40,936.81,18.93,
ne03_teke,580.38,1294.46,43.77,
ne03_teke1,579.15,1750.68,37.01,
ne03_teke2,568.68,1656.65,29.89,
ne03_tiki,408.16,2692.19,49.95,
ne03_tiki1,377.57,1521.07,82.82,
ne03_tiki2,411.28,1737.58,32.77,
ne03_toko,621.14,1091.39,38.44,
ne03_toko1,623.90,1196.75,41.75,
ne03_toko2,541.10,1079.92,31.32,
ne03_tuku,445.72,1094.28,45.96,
ne03_tuku1,430.25,1048.00,67.16,
ne03_tuku2,481.38,1115.90,46.23,
