fileID,f1,f2,vot,notes
ne01_kaka,899.18,1635.33,48.59,
ne01_kaka1,951.85,1775.85,44.77,
ne01_kaka2,1081.21,1747.86,37.40,
ne01_keke,469.71,2478.46,42.55,
ne01_keke1,599.74,2481.13,32.45,
ne01_keke2,493.72,2625.49,33.66,
ne01_kiki,390.92,2847.08,43.55,
ne01_kiki1,1136.59,2190.73,59.04,
ne01_kiki2,438.61,2789.04,48.89,
ne01_koko,652.28,1072.56,51.80,
ne01_koko1,578.01,1065.37,30.51,
ne01_koko2,641.73,1102.20,41.50,
ne01_kuku,490.31,1106.74,61.68,
ne01_kuku1,445.94,1014.72,62.24,
ne01_kuku2,1090.56,2137.86,60.00,
ne01_paka,742.55,1512.10,20.78,
ne01_paka1,852.66,1680.57,13.85,
ne01_paka2,860.06,1655.35,46.99,
ne01_peke,446.15,2644.00,10.57,
ne01_peke1,406.97,2700.77,27.30,
ne01_peke2,550.32,2515.36,9.23,
ne01_piki,402.46,2827.87,19.14,
ne01_piki1,418.61,2877.54,12.02,
ne01_piki2,381.49,2924.18,16.00,
ne01_poko,527.88,1079.41,29.07,
ne01_poko1,570.69,1155.54,26.61,
ne01_poko2,500.68,1049.21,22.62,
ne01_puku,416.29,1061.02,31.19,
ne01_puku1,448.18,1067.26,57.55,
ne01_puku2,445.19,1010.17,69.51,
ne01_taka,895.60,1701.74,18.89,
ne01_taka1,1215.97,1814.90,20.38,
ne01_taka2,932.97,1714.80,15.15,
ne01_teke,516.99,2449.61,19.14,
ne01_teke1,547.72,2468.90,15.81,
ne01_teke2,869.24,2510.85,17.93,
ne01_tiki,381.65,2881.41,22.78,
ne01_tiki1,389.39,2850.99,29.82,
ne01_tiki2,360.53,3011.85,40.04,
ne01_toko,600.59,1007.97,36.72,
ne01_toko1,482.13,1077.99,35.36,
ne01_toko2,549.30,1061.72,17.88,
ne01_tuku,423.77,1060.53,44.64,
ne01_tuku1,413.84,1072.76,34.75,
ne01_tuku2,1077.28,1728.52,51.31,
