fileID,f1,f2,vot,notes
bi02_kaka,780.44,1573.04,16.90,
bi02_kaka1,781.42,1534.08,27.45,
bi02_kaka2,516.27,1482.92,26.84,
bi02_keke,471.89,2194.95,23.61,
bi02_keke1,467.00,2333.13,16.42,
bi02_keke2,537.33,2278.52,16.04,
bi02_kiki,336.31,2614.48,36.87,
bi02_kiki1,348.52,2670.22,26.30,
bi02_kiki2,336.72,2578.78,22.67,
bi02_koko,617.44,994.25,30.50,
bi02_koko1,588.87,958.57,29.39,
bi02_koko2,441.08,909.26,37.59,
bi02_kuku,471.84,916.27,30.98,
bi02_kuku1,467.67,919.38,38.25,
bi02_kuku2,293.18,774.19,25.45,
bi02_paka,809.06,1633.91,11.67,
bi02_paka1,723.73,1440.20,12.30,
bi02_paka2,716.00,1599.35,14.94,
bi02_peke,502.15,2265.50,21.55,
bi02_peke1,461.49,2350.00,21.84,
bi02_peke2,485.02,2332.84,13.79,
bi02_piki,356.05,1612.28,21.39,
bi02_piki1,289.31,2415.59,17.51,
bi02_piki2,574.23,2682.32,16.62,
bi02_poko,588.28,919.30,19.58,
bi02_poko1,581.32,949.75,14.03,
bi02_poko2,560.80,1054.89,16.72,
bi02_puku,507.00,894.96,31.57,
bi02_puku1,463.26,844.25,16.62,
bi02_puku2,450.23,801.99,21.15,
bi02_taka,814.19,1551.97,15.37,
bi02_taka1,743.17,1527.02,13.16,
bi02_taka2,508.35,1443.77,20.01,
bi02_teke,528.80,2217.71,17.16,
bi02_teke1,464.16,2342.54,15.59,
bi02_teke2,404.82,1451.50,14.38,
bi02_tiki,641.74,2227.47,18.13,
bi02_tiki1,345.33,2762.56,22.59,
bi02_tiki2,352.58,1075.77,41.41,
bi02_toko,476.59,903.61,13.51,
bi02_toko1,549.62,962.59,11.49,
bi02_toko2,602.63,999.36,17.96,
bi02_tuku,472.53,961.05,22.23,
bi02_tuku1,466.91,929.96,15.50,
bi02_tuku2,523.53,829.28,17.40,
